time_s,object_resistance_R
538.563,15135.14
539.646,15135.14
540.729,15197.05
541.812,15135.14
542.895,15012.23
543.979,15073.53
545.063,15135.14
546.145,15073.53
547.228,15073.53
548.31,15197.05
549.393,15197.05
550.475,15012.23
551.557,15073.53
552.64,15073.53
553.722,15384.62
554.804,15073.53
555.887,14951.22
556.969,15012.23
558.051,15012.23
559.133,14951.22
560.215,15012.23
561.312,14890.51
562.394,15012.23
563.476,14951.22
564.558,15012.23
565.641,14890.51
566.724,15012.23
567.806,15012.23
568.888,15012.23
569.97,15012.23
571.052,14951.22
572.134,15012.23
573.217,15012.23
574.3,14951.22
575.382,15012.23
576.465,15073.53
577.547,14951.22
578.63,14890.51
579.712,15135.14
580.795,15135.14
581.877,15135.14
582.96,15135.14
584.043,15135.14
585.126,15197.05
586.208,15197.05
587.29,15197.05
588.373,15135.14
589.457,15135.14
590.54,15197.05
591.622,15135.14
592.72,15197.05
593.802,15135.14
594.885,15135.14
595.967,15135.14
597.049,15135.14
598.132,15259.26
599.215,15135.14
600.298,15073.53
601.38,15639.1
602.462,15135.14
603.545,15135.14
604.627,15012.23
605.709,14890.51
606.792,15073.53
607.876,14951.22
608.96,14890.51
610.043,14951.22
611.126,15012.23
612.209,14951.22
613.292,15012.23
614.375,15012.23
615.458,15575.0
616.541,15197.05
617.625,15073.53
618.708,15197.05
619.791,15197.05
620.874,15259.26
621.956,15197.05
623.054,15259.26
624.137,15321.78
625.22,15384.62
626.303,15447.76
627.385,15511.22
628.469,16502.59
629.552,15575.0
630.635,15511.22
631.717,15575.0
632.799,15575.0
633.882,15639.1
634.965,15511.22
636.047,15639.1
637.129,15639.1
638.212,15639.1
639.295,15703.52
640.378,15703.52
641.461,15768.26
642.543,15768.26
643.625,15703.52
644.708,15703.52
645.791,15833.33
646.873,15768.26
647.956,15768.26
649.038,15768.26
650.121,15768.26
651.203,15833.33
652.286,15898.73
653.369,15898.73
654.467,15833.33
655.549,15768.26
656.631,15833.33
657.714,15964.47
658.796,15964.47
659.878,16030.53
660.961,15964.47
662.043,15833.33
663.126,16096.94
664.208,15964.47
665.29,16096.94
666.373,16030.53
667.456,16030.53
668.54,16163.68
669.623,16163.68
670.706,16096.94
671.789,16163.68
672.872,16163.68
673.962,16096.94
675.045,16096.94
676.128,16163.68
677.211,16230.77
678.294,16230.77
679.376,16298.2
680.459,16230.77
681.542,16163.68
682.625,16096.94
683.708,16230.77
684.805,16230.77
685.888,16298.2
686.97,16163.68
688.053,16230.77
689.136,16230.77
690.219,16230.77
691.302,16365.98
692.385,16298.2
693.468,16434.11
694.55,16096.94
695.633,16230.77
696.718,16230.77
697.801,16298.2
698.884,16163.68
699.966,16298.2
701.049,16298.2
702.131,16230.77
703.214,16365.98
704.296,16230.77
705.379,16163.68
706.461,16163.68
707.543,16230.77
708.625,16230.77
709.707,16163.68
710.79,16230.77
711.871,16096.94
712.952,16163.68
